Epoch 1: duration loss = 1.090 | prior loss = 3.514 | diffusion loss = 0.186
Epoch 2: duration loss = 1.376 | prior loss = 1.598 | diffusion loss = 0.137
Epoch 3: duration loss = 1.340 | prior loss = 1.555 | diffusion loss = 0.130
Epoch 4: duration loss = 1.304 | prior loss = 1.533 | diffusion loss = 0.125
Epoch 5: duration loss = 1.280 | prior loss = 1.519 | diffusion loss = 0.122
Epoch 6: duration loss = 1.263 | prior loss = 1.508 | diffusion loss = 0.124
Epoch 7: duration loss = 1.249 | prior loss = 1.500 | diffusion loss = 0.122
Epoch 8: duration loss = 1.236 | prior loss = 1.494 | diffusion loss = 0.119
Epoch 9: duration loss = 1.227 | prior loss = 1.487 | diffusion loss = 0.119
Epoch 10: duration loss = 1.211 | prior loss = 1.482 | diffusion loss = 0.117
Epoch 11: duration loss = 1.196 | prior loss = 1.477 | diffusion loss = 0.120
Epoch 12: duration loss = 1.185 | prior loss = 1.473 | diffusion loss = 0.119
Epoch 13: duration loss = 1.173 | prior loss = 1.470 | diffusion loss = 0.117
Epoch 14: duration loss = 1.163 | prior loss = 1.465 | diffusion loss = 0.116
Epoch 15: duration loss = 1.154 | prior loss = 1.460 | diffusion loss = 0.114
Epoch 16: duration loss = 1.146 | prior loss = 1.457 | diffusion loss = 0.111
Epoch 17: duration loss = 1.139 | prior loss = 1.454 | diffusion loss = 0.112
Epoch 18: duration loss = 1.135 | prior loss = 1.451 | diffusion loss = 0.116
Epoch 19: duration loss = 1.126 | prior loss = 1.448 | diffusion loss = 0.113
Epoch 20: duration loss = 1.119 | prior loss = 1.445 | diffusion loss = 0.115
Epoch 21: duration loss = 1.113 | prior loss = 1.443 | diffusion loss = 0.111
Epoch 22: duration loss = 1.107 | prior loss = 1.440 | diffusion loss = 0.113
Epoch 23: duration loss = 1.101 | prior loss = 1.437 | diffusion loss = 0.112
Epoch 24: duration loss = 1.097 | prior loss = 1.435 | diffusion loss = 0.114
Epoch 25: duration loss = 1.090 | prior loss = 1.433 | diffusion loss = 0.111
Epoch 26: duration loss = 1.085 | prior loss = 1.430 | diffusion loss = 0.112
Epoch 27: duration loss = 1.081 | prior loss = 1.429 | diffusion loss = 0.112
Epoch 28: duration loss = 1.075 | prior loss = 1.426 | diffusion loss = 0.111
Epoch 29: duration loss = 1.070 | prior loss = 1.424 | diffusion loss = 0.110
Epoch 30: duration loss = 1.065 | prior loss = 1.421 | diffusion loss = 0.110
Epoch 31: duration loss = 1.063 | prior loss = 1.420 | diffusion loss = 0.111
Epoch 32: duration loss = 1.059 | prior loss = 1.417 | diffusion loss = 0.112
Epoch 33: duration loss = 1.053 | prior loss = 1.417 | diffusion loss = 0.112
Epoch 34: duration loss = 1.051 | prior loss = 1.414 | diffusion loss = 0.113
Epoch 35: duration loss = 1.046 | prior loss = 1.412 | diffusion loss = 0.111
Epoch 36: duration loss = 1.043 | prior loss = 1.411 | diffusion loss = 0.110
Epoch 37: duration loss = 1.040 | prior loss = 1.410 | diffusion loss = 0.110
Epoch 38: duration loss = 1.039 | prior loss = 1.409 | diffusion loss = 0.110
Epoch 39: duration loss = 1.035 | prior loss = 1.406 | diffusion loss = 0.109
Epoch 40: duration loss = 1.032 | prior loss = 1.406 | diffusion loss = 0.110
Epoch 41: duration loss = 1.030 | prior loss = 1.405 | diffusion loss = 0.110
Epoch 42: duration loss = 1.026 | prior loss = 1.403 | diffusion loss = 0.110
Epoch 43: duration loss = 1.021 | prior loss = 1.401 | diffusion loss = 0.112
Epoch 44: duration loss = 1.020 | prior loss = 1.400 | diffusion loss = 0.112
Epoch 45: duration loss = 1.016 | prior loss = 1.398 | diffusion loss = 0.109
Epoch 46: duration loss = 1.017 | prior loss = 1.397 | diffusion loss = 0.111
Epoch 47: duration loss = 1.011 | prior loss = 1.396 | diffusion loss = 0.108
Epoch 48: duration loss = 1.010 | prior loss = 1.395 | diffusion loss = 0.111
Epoch 49: duration loss = 1.007 | prior loss = 1.393 | diffusion loss = 0.108
Epoch 50: duration loss = 1.005 | prior loss = 1.393 | diffusion loss = 0.107
Epoch 51: duration loss = 1.001 | prior loss = 1.391 | diffusion loss = 0.107
Epoch 52: duration loss = 1.001 | prior loss = 1.391 | diffusion loss = 0.108
Epoch 53: duration loss = 0.996 | prior loss = 1.388 | diffusion loss = 0.109
Epoch 54: duration loss = 0.993 | prior loss = 1.388 | diffusion loss = 0.107
Epoch 55: duration loss = 0.992 | prior loss = 1.388 | diffusion loss = 0.107
Epoch 56: duration loss = 0.990 | prior loss = 1.385 | diffusion loss = 0.109
Epoch 57: duration loss = 0.986 | prior loss = 1.385 | diffusion loss = 0.108
Epoch 58: duration loss = 0.986 | prior loss = 1.384 | diffusion loss = 0.107
Epoch 59: duration loss = 0.983 | prior loss = 1.382 | diffusion loss = 0.110
Epoch 60: duration loss = 0.979 | prior loss = 1.381 | diffusion loss = 0.110
Epoch 61: duration loss = 0.978 | prior loss = 1.382 | diffusion loss = 0.106
Epoch 62: duration loss = 0.975 | prior loss = 1.379 | diffusion loss = 0.110
Epoch 63: duration loss = 0.974 | prior loss = 1.379 | diffusion loss = 0.108
Epoch 64: duration loss = 0.972 | prior loss = 1.378 | diffusion loss = 0.111
Epoch 65: duration loss = 0.969 | prior loss = 1.377 | diffusion loss = 0.107
Epoch 66: duration loss = 0.968 | prior loss = 1.376 | diffusion loss = 0.106
Epoch 67: duration loss = 0.966 | prior loss = 1.375 | diffusion loss = 0.105
Epoch 68: duration loss = 0.967 | prior loss = 1.375 | diffusion loss = 0.106
Epoch 69: duration loss = 0.965 | prior loss = 1.374 | diffusion loss = 0.110
Epoch 70: duration loss = 0.961 | prior loss = 1.373 | diffusion loss = 0.106
Epoch 71: duration loss = 0.959 | prior loss = 1.373 | diffusion loss = 0.108
Epoch 72: duration loss = 0.958 | prior loss = 1.372 | diffusion loss = 0.108
Epoch 73: duration loss = 0.956 | prior loss = 1.370 | diffusion loss = 0.106
Epoch 74: duration loss = 0.954 | prior loss = 1.370 | diffusion loss = 0.108
Epoch 75: duration loss = 0.953 | prior loss = 1.369 | diffusion loss = 0.109
Epoch 76: duration loss = 0.953 | prior loss = 1.370 | diffusion loss = 0.107
Epoch 77: duration loss = 0.951 | prior loss = 1.369 | diffusion loss = 0.103
Epoch 78: duration loss = 0.949 | prior loss = 1.368 | diffusion loss = 0.108
Epoch 79: duration loss = 0.948 | prior loss = 1.366 | diffusion loss = 0.104
Epoch 80: duration loss = 0.947 | prior loss = 1.366 | diffusion loss = 0.107
Epoch 81: duration loss = 0.944 | prior loss = 1.366 | diffusion loss = 0.106
Epoch 82: duration loss = 0.944 | prior loss = 1.365 | diffusion loss = 0.104
Epoch 83: duration loss = 0.943 | prior loss = 1.366 | diffusion loss = 0.108
Epoch 84: duration loss = 0.941 | prior loss = 1.363 | diffusion loss = 0.104
Epoch 85: duration loss = 0.939 | prior loss = 1.363 | diffusion loss = 0.105
Epoch 86: duration loss = 0.939 | prior loss = 1.363 | diffusion loss = 0.107
Epoch 87: duration loss = 0.937 | prior loss = 1.362 | diffusion loss = 0.107
Epoch 88: duration loss = 0.936 | prior loss = 1.362 | diffusion loss = 0.107
Epoch 89: duration loss = 0.935 | prior loss = 1.361 | diffusion loss = 0.108
Epoch 90: duration loss = 0.932 | prior loss = 1.360 | diffusion loss = 0.109
Epoch 91: duration loss = 0.931 | prior loss = 1.358 | diffusion loss = 0.107
Epoch 92: duration loss = 0.930 | prior loss = 1.359 | diffusion loss = 0.104
Epoch 93: duration loss = 0.930 | prior loss = 1.358 | diffusion loss = 0.107
Epoch 94: duration loss = 0.926 | prior loss = 1.359 | diffusion loss = 0.104
Epoch 95: duration loss = 0.925 | prior loss = 1.357 | diffusion loss = 0.108
Epoch 96: duration loss = 0.926 | prior loss = 1.356 | diffusion loss = 0.108
Epoch 97: duration loss = 0.923 | prior loss = 1.356 | diffusion loss = 0.106
Epoch 98: duration loss = 0.922 | prior loss = 1.356 | diffusion loss = 0.103
Epoch 99: duration loss = 0.921 | prior loss = 1.354 | diffusion loss = 0.106
Epoch 100: duration loss = 0.921 | prior loss = 1.354 | diffusion loss = 0.103
Epoch 1: duration loss = 1.080 | prior loss = 3.518 | diffusion loss = 0.186
Epoch 2: duration loss = 1.381 | prior loss = 1.611 | diffusion loss = 0.138
Epoch 3: duration loss = 1.348 | prior loss = 1.561 | diffusion loss = 0.130
Epoch 4: duration loss = 1.311 | prior loss = 1.536 | diffusion loss = 0.125
Epoch 5: duration loss = 1.288 | prior loss = 1.521 | diffusion loss = 0.122
Epoch 6: duration loss = 1.271 | prior loss = 1.511 | diffusion loss = 0.124
Epoch 7: duration loss = 1.254 | prior loss = 1.501 | diffusion loss = 0.122
Epoch 8: duration loss = 1.242 | prior loss = 1.496 | diffusion loss = 0.119
Epoch 9: duration loss = 1.230 | prior loss = 1.488 | diffusion loss = 0.119
Epoch 10: duration loss = 1.216 | prior loss = 1.483 | diffusion loss = 0.117
Epoch 11: duration loss = 1.200 | prior loss = 1.478 | diffusion loss = 0.120
Epoch 12: duration loss = 1.189 | prior loss = 1.474 | diffusion loss = 0.119
Epoch 13: duration loss = 1.173 | prior loss = 1.470 | diffusion loss = 0.117
Epoch 14: duration loss = 1.166 | prior loss = 1.465 | diffusion loss = 0.116
Epoch 15: duration loss = 1.157 | prior loss = 1.461 | diffusion loss = 0.114
Epoch 16: duration loss = 1.149 | prior loss = 1.457 | diffusion loss = 0.111
Epoch 17: duration loss = 1.139 | prior loss = 1.455 | diffusion loss = 0.112
Epoch 18: duration loss = 1.132 | prior loss = 1.452 | diffusion loss = 0.116
Epoch 19: duration loss = 1.124 | prior loss = 1.449 | diffusion loss = 0.113
Epoch 20: duration loss = 1.120 | prior loss = 1.445 | diffusion loss = 0.115
Epoch 21: duration loss = 1.111 | prior loss = 1.443 | diffusion loss = 0.111
Epoch 22: duration loss = 1.107 | prior loss = 1.440 | diffusion loss = 0.113
Epoch 23: duration loss = 1.102 | prior loss = 1.438 | diffusion loss = 0.112
Epoch 24: duration loss = 1.095 | prior loss = 1.435 | diffusion loss = 0.114
Epoch 25: duration loss = 1.090 | prior loss = 1.433 | diffusion loss = 0.111
Epoch 26: duration loss = 1.086 | prior loss = 1.431 | diffusion loss = 0.112
Epoch 27: duration loss = 1.081 | prior loss = 1.428 | diffusion loss = 0.112
Epoch 28: duration loss = 1.075 | prior loss = 1.426 | diffusion loss = 0.111
Epoch 29: duration loss = 1.074 | prior loss = 1.424 | diffusion loss = 0.110
Epoch 30: duration loss = 1.067 | prior loss = 1.421 | diffusion loss = 0.110
Epoch 31: duration loss = 1.065 | prior loss = 1.420 | diffusion loss = 0.111
Epoch 32: duration loss = 1.060 | prior loss = 1.418 | diffusion loss = 0.112
Epoch 33: duration loss = 1.056 | prior loss = 1.417 | diffusion loss = 0.112
Epoch 34: duration loss = 1.053 | prior loss = 1.414 | diffusion loss = 0.113
Epoch 35: duration loss = 1.051 | prior loss = 1.413 | diffusion loss = 0.111
Epoch 36: duration loss = 1.046 | prior loss = 1.411 | diffusion loss = 0.110
Epoch 37: duration loss = 1.042 | prior loss = 1.409 | diffusion loss = 0.110
Epoch 38: duration loss = 1.040 | prior loss = 1.409 | diffusion loss = 0.110
Epoch 39: duration loss = 1.038 | prior loss = 1.407 | diffusion loss = 0.109
Epoch 40: duration loss = 1.033 | prior loss = 1.405 | diffusion loss = 0.110
Epoch 41: duration loss = 1.030 | prior loss = 1.404 | diffusion loss = 0.110
Epoch 42: duration loss = 1.027 | prior loss = 1.403 | diffusion loss = 0.110
Epoch 43: duration loss = 1.024 | prior loss = 1.402 | diffusion loss = 0.112
Epoch 44: duration loss = 1.021 | prior loss = 1.400 | diffusion loss = 0.112
Epoch 45: duration loss = 1.019 | prior loss = 1.398 | diffusion loss = 0.109
Epoch 46: duration loss = 1.018 | prior loss = 1.397 | diffusion loss = 0.111
Epoch 47: duration loss = 1.013 | prior loss = 1.396 | diffusion loss = 0.108
Epoch 48: duration loss = 1.013 | prior loss = 1.395 | diffusion loss = 0.111
Epoch 49: duration loss = 1.008 | prior loss = 1.393 | diffusion loss = 0.108
Epoch 50: duration loss = 1.006 | prior loss = 1.392 | diffusion loss = 0.107
Epoch 51: duration loss = 1.002 | prior loss = 1.391 | diffusion loss = 0.107
Epoch 52: duration loss = 1.002 | prior loss = 1.391 | diffusion loss = 0.108
Epoch 53: duration loss = 0.998 | prior loss = 1.389 | diffusion loss = 0.109
Epoch 54: duration loss = 0.996 | prior loss = 1.388 | diffusion loss = 0.107
Epoch 55: duration loss = 0.995 | prior loss = 1.387 | diffusion loss = 0.107
Epoch 56: duration loss = 0.992 | prior loss = 1.385 | diffusion loss = 0.109
Epoch 57: duration loss = 0.990 | prior loss = 1.385 | diffusion loss = 0.108
Epoch 58: duration loss = 0.986 | prior loss = 1.383 | diffusion loss = 0.107
Epoch 59: duration loss = 0.986 | prior loss = 1.382 | diffusion loss = 0.110
Epoch 60: duration loss = 0.983 | prior loss = 1.382 | diffusion loss = 0.110
Epoch 61: duration loss = 0.982 | prior loss = 1.382 | diffusion loss = 0.106
Epoch 62: duration loss = 0.980 | prior loss = 1.380 | diffusion loss = 0.110
Epoch 63: duration loss = 0.976 | prior loss = 1.379 | diffusion loss = 0.108
Epoch 64: duration loss = 0.976 | prior loss = 1.378 | diffusion loss = 0.111
Epoch 65: duration loss = 0.973 | prior loss = 1.377 | diffusion loss = 0.107
Epoch 66: duration loss = 0.972 | prior loss = 1.377 | diffusion loss = 0.106
Epoch 67: duration loss = 0.970 | prior loss = 1.376 | diffusion loss = 0.105
Epoch 68: duration loss = 0.970 | prior loss = 1.375 | diffusion loss = 0.106
Epoch 69: duration loss = 0.968 | prior loss = 1.374 | diffusion loss = 0.110
Epoch 70: duration loss = 0.966 | prior loss = 1.374 | diffusion loss = 0.106
Epoch 71: duration loss = 0.963 | prior loss = 1.373 | diffusion loss = 0.108
Epoch 72: duration loss = 0.962 | prior loss = 1.372 | diffusion loss = 0.108
Epoch 73: duration loss = 0.960 | prior loss = 1.370 | diffusion loss = 0.106
Epoch 74: duration loss = 0.960 | prior loss = 1.371 | diffusion loss = 0.108
Epoch 75: duration loss = 0.958 | prior loss = 1.369 | diffusion loss = 0.109
Epoch 76: duration loss = 0.956 | prior loss = 1.369 | diffusion loss = 0.107
